dataset_id,dataset_text,verdict,live_externalId,live_label,score
RSK-0321,Credit Life has roadmap uncertainty due to TBC schedule or effort Cred,NEW,,,0.069
RSK-0322,Credit Life has low-confidence delivery commitment Credit Life is prio,NEW,,,0.083
RSK-0323,Credit Life has an untracked dependency risk The worksheet marks Credi,NEW,,,0.091
RSK-0324,Credit Life is at risk from resource capacity constraints The source n,NEW,,,0.1
RSK-0325,Credit Life has accountability risk Credit Life is priority High but h,NEW,,,0.118
RSK-0326,Funeral Claims - Sales Journey may not start or complete on plan Funer,NEW,,,0.069
RSK-0327,Funeral Claims - Sales Journey has roadmap uncertainty due to TBC sche,NEW,,,0.065
RSK-0328,Funeral Claims - Sales Journey has low-confidence delivery commitment ,NEW,,,0.077
RSK-0329,Funeral Claims - Sales Journey has an untracked dependency risk The wo,NEW,,,0.083
RSK-0330,Funeral Claims - Sales Journey is at risk from resource capacity const,NEW,,,0.091
RSK-0331,Funeral Claims - Sales Journey has accountability risk Funeral Claims ,NEW,,,0.105
RSK-0332,Motor claims - Sales Journey may not start or complete on plan Motor c,NEW,,,0.069
RSK-0333,Motor claims - Sales Journey has roadmap uncertainty due to TBC schedu,NEW,,,0.065
RSK-0334,Motor claims - Sales Journey has low-confidence delivery commitment Mo,NEW,,,0.077
RSK-0335,Motor claims - Sales Journey has an untracked dependency risk The work,NEW,,,0.083
RSK-0336,Motor claims - Sales Journey is at risk from resource capacity constra,NEW,,,0.091
RSK-0337,Motor claims - Sales Journey has accountability risk Motor claims - Sa,NEW,,,0.105
RSK-0338,Home owners claims- Sales Journey may not start or complete on plan Ho,NEW,,,0.067
RSK-0339,Home owners claims- Sales Journey has roadmap uncertainty due to TBC s,NEW,,,0.062
RSK-0340,Home owners claims- Sales Journey has low-confidence delivery commitme,NEW,,,0.074
RSK-0341,Home owners claims- Sales Journey has an untracked dependency risk The,NEW,,,0.08
RSK-0342,Home owners claims- Sales Journey is at risk from resource capacity co,NEW,,,0.087
RSK-0343,Home owners claims- Sales Journey has accountability risk Home owners ,NEW,,,0.1
